cert,bank_name,address,city,state,zip,deposit,branch_name,established_date,latitude,longitude,county,risk_score,risk_rating
1895,Farmers and Merchants Bank,15226 Hanover Pike,Upperco,Maryland,21155,206542,Farmers And Merchants Bank,1919-01-01,39.54388799,-76.83807996,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,9616 Belair Rd,Nottingham,Maryland,21236,7598,Rosedale Federal Savings And Loan Association,1908-01-01,39.41352999,-76.46406997,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,1000 Lancaster St Ste C,Baltimore,Maryland,21201,14857,Inner Harbor East Branch,1997-05-19,39.282756,-76.59955497,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,1509 Havenwood Rd,Baltimore,Maryland,21201,19510,Northwood Branch,2022-06-20,39.34073199,-76.59196197,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,"855 N Wolfe St, Ste C",Baltimore,Maryland,21201,15061,Science & Technology Park East At Johns Hopkins Branch,2009-03-16,39.300107,-76.590644,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,800 W Baltimore St,Baltimore,Maryland,21201,25566,Research Park Branch,2005-10-01,39.289228,-76.62949303,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,5000 Park Heights Ave,Baltimore,Maryland,21201,15490,Park Heights Branch,1951-11-05,39.34753902,-76.67390597,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,25 W Fayette St,Baltimore,Maryland,21201,178554,The Harbor Bank Of Maryland,1982-09-13,39.29015601,-76.61616999,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,7114 N Point Rd,Baltimore,Maryland,21219,134322,Bayvanguard Bank,1873-09-01,39.24112698,-76.44605097,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,"921 E Fort Ave, Ste 102",Baltimore,Maryland,21219,17328,Fort Ave Branch,1992-03-01,39.27079901,-76.60112096,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,532 Eastern Blvd,Baltimore,Maryland,21219,27819,Essex Branch,1927-05-13,39.30940002,-76.47396103,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,"5525 Eastern Avenue, Suite #101",Baltimore,Maryland,21219,44492,Yard 56 Branch,1985-06-30,39.28720865,-76.54917515,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,3101 North Point Rd,Baltimore,Maryland,21219,19258,3101 Old No Point Rd Branch,1985-06-30,39.277765,-76.48588303,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,1920 Rock Spring Rd,Baltimore,Maryland,21219,42990,Forest Hill Branch,1904-05-04,39.57005499,-76.38109801,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,8639 Belair Rd,Baltimore,Maryland,21219,31511,Perry Hall Branch,1899-01-01,39.390593,-76.48942699,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,501 Idlewild Ave,Baltimore,Maryland,21219,80367,Idlewild Avenue Branch,1993-07-01,38.76499201,-76.06835403,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,803 Woods Rd,Baltimore,Maryland,21219,37288,Woods Road Branch,1968-12-23,38.55707501,-76.06005603,Baltimore,95.195672923958,Relatively Moderate
24015,The Harbor Bank of Maryland,8530 Liberty Rd,Baltimore,Maryland,21201,33567,Liberty Plaza Branch,1974-11-15,39.36126799,-76.77740596,Baltimore,95.195672923958,Relatively Moderate
32360,"Eastern Savings Bank, FSB","10060 Baltimore National Pike, Ste G110",Hunt Valley,Maryland,21031,45004,Baltimore National Pike Branch,1995-10-16,39.28000799,-76.85798103,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,104 Factory St,Baltimore,Maryland,21219,8494,Oxford Bank & Trust Branch,2001-11-13,38.68940333,-76.17214913,Baltimore,95.195672923958,Relatively Moderate
32360,"Eastern Savings Bank, FSB",4113 Wholesale Club Dr,Hunt Valley,Maryland,21031,63543,4113 Wholesale Club Drive Branch,1986-06-30,39.37887401,-76.50143398,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,7939 Honeygo Blvd,Nottingham,Maryland,21236,96392,White Marsh Branch,1908-01-01,39.372056,-76.47171602,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,3111 Emmorton Rd,Nottingham,Maryland,21236,62586,Abingdon Branch,1999-10-04,39.475593,-76.30864098,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,104 Forest Valley Dr,Nottingham,Maryland,21236,50876,Forest Hill Branch,2000-06-30,39.55966101,-76.37242601,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,6708 Belair Rd,Nottingham,Maryland,21236,83169,Overlea Branch,2009-06-30,39.35602402,-76.52954898,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,6810 York Rd,Nottingham,Maryland,21236,77374,Towson Branch,1884-04-04,39.37811302,-76.60897396,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,1301 Merritt Blvd,Nottingham,Maryland,21236,32315,Dundalk Branch,2018-10-09,39.280204,-76.50468599,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,1730 York Rd,Nottingham,Maryland,21236,42440,Rosedal Federal- Timonium Branch,2022-02-28,39.42846399,-76.62103996,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,5424 Carville Ave,Nottingham,Maryland,21236,66915,5424 Carville Ave Branch,1926-01-01,39.247652,-76.69411599,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,3820 Mountain Rd,Nottingham,Maryland,21236,23960,Pasadena Branch,1988-06-30,39.12407501,-76.523355,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,2001 E Joppa Rd,Nottingham,Maryland,21236,55409,Parkville Branch,2022-07-07,39.398661,-76.54372797,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,"9616A Belair Road, Suite A",Nottingham,Maryland,21236,20,Www.Rosedalefederal.Com Branch,2024-06-01,39.41352999,-76.46406997,Baltimore,95.195672923958,Relatively Moderate
29613,Rosedale Federal Savings and Loan Association,8552 Philadelphia Rd,Nottingham,Maryland,21236,133278,Rosedale Branch,1908-01-01,39.333536,-76.49644297,Baltimore,95.195672923958,Relatively Moderate
31267,Homewood Federal Savings Bank,3228 Eastern Ave # 30,Baltimore,Maryland,21224,47615,Homewood Federal Savings Bank,1916-01-01,39.28672601,-76.57051201,Baltimore,95.195672923958,Relatively Moderate
32360,"Eastern Savings Bank, FSB",11350 Mccormick Rd,Hunt Valley,Maryland,21031,80289,"Eastern Savings Bank, Fsb",1905-05-29,39.49297698,-76.659817,Baltimore,95.195672923958,Relatively Moderate
32360,"Eastern Savings Bank, FSB",1417 Reisterstown Rd,Hunt Valley,Maryland,21031,70748,1417 Reistertown Road Branch,1986-06-30,39.37673499,-76.72461397,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,100 Pine St,Baltimore,Maryland,21219,46853,The Hurlock Branch,1973-11-15,38.629426,-75.86054704,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,8707 Commerce Dr,Baltimore,Maryland,21219,15989,Glebe Road Branch,2008-10-20,38.78808399,-76.07883602,Baltimore,95.195672923958,Relatively Moderate
32527,BayVanguard Bank,304 High St,Baltimore,Maryland,21219,126354,High Street Branch,2020-10-31,38.571499,-76.07672403,Baltimore,95.195672923958,Relatively Moderate
1895,Farmers and Merchants Bank,735 Hanover Pike,Upperco,Maryland,21155,76856,Hampstead Branch,1990-04-23,39.594525,-76.84550297,Baltimore,95.195672923958,Relatively Moderate
